entry_date,product,exchange,contract_code,option_type,target_expiry,dte,trend_20d,delta,close_oi,volume,entry_price,strike,spot_close,sell_side,side_rule,put_iv_pressure,call_iv_pressure,selected_side_iv_pressure,other_side_iv_pressure,side_iv_pressure_diff,qty,target_qty,qty_fill_ratio,premium_cash,target_premium_cash,target_premium_pct,budget_group,current_group_premium_cash_before,group_premium_budget_cash,group_premium_cap_cash,portfolio_group_premium_cap_pct_nav,capped_by_group_premium,corr_peer_count,corr_peer_products,current_corr_premium_cash_before,corr_premium_budget_cash,corr_premium_cap_cash,portfolio_corr_premium_cap_pct_nav,portfolio_corr_threshold,capped_by_corr_premium,portfolio_group_margin_trigger_pct_nav,portfolio_group_new_trade_cap_after_trigger_pct_nav,group_margin_trigger_margin_pct,group_margin_trigger_budget_cash,capped_by_group_margin_trigger,margin_cash,current_margin_cash_before,post_open_margin_pct_nav,margin_budget_cash,one_lot_margin_cash,max_qty_by_margin,capped_by_margin,entry_reason,strategy_layer,reentry_count,trigger_contract_code,trigger_entry_price,trigger_last_price,trigger_decay_ratio,overlay_atm_iv,overlay_iv_percentile,overlay_iv_prior_days,overlay_atm_option_obs,overlay_signal_rule,overlay_trigger_trade_date,overlay_atm_iv_lag1,overlay_atm_iv_lag2,overlay_atm_iv_lag3,overlay_atm_iv_lag4,overlay_iv_percentile_lag1,overlay_iv_percentile_lag2,overlay_iv_percentile_lag3,overlay_iv_percentile_lag4,overlay_trigger_iv_percentile,overlay_tier_threshold,overlay_tier_max_abs_delta,overlay_tier_target_premium_pct,overlay_iv_pullback_pct,overlay_entry_iv_rebound_pct,overlay_strategy,overlay_signal_family,overlay_side_rule,overlay_priority,forced_sell_side,risk_reversal_lag1,risk_reversal_lag2,risk_reversal_lag3,abs_risk_reversal_lag1,abs_risk_reversal_lag2,abs_risk_reversal_lag3,put_iv_lag1,call_iv_lag1,put_iv_lag2,call_iv_lag2,put_iv_lag3,call_iv_lag3,term_spread_lag1,term_spread_lag2,term_spread_lag3,near_atm_iv_lag1,next_atm_iv_lag1,near_atm_iv_lag2,next_atm_iv_lag2,near_atm_iv_lag3,next_atm_iv_lag3,t1_trend_20d,t1_side,t1_trend_conflict,t1_side_skip_reason
2023-09-23,AU,SHFE,SHFE.au2312C520,C,2023-11-24,62,0.0188025301100425,0.0640419722977585,1919.0,130.0,0.8,520.0,470.32,C,high_iv_pressure,0.1290487556575037,0.1515827464519988,0.1515827464519988,0.1290487556575037,0.022533990794495,66,66,1.0,52800.0,52800.0,0.001,AU|C,,,,,False,0,,,,,,,False,,,0.3291401752056621,,False,3379939.1999999997,17495996.5,0.3927246518299278,19713674.25,51211.19999999999,384,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12,PK,CZCE,CZCE.PK312P9000,P,2023-11-03,22,-0.0520792848814612,-0.0466959517284786,1282.0,1360.0,9.5,9000.0,9756.0,P,high_iv_pressure,0.2017203270620725,0.1580509900462793,0.2017203270620725,0.1580509900462793,0.0436693370157931,1121,1121,1.0,53247.5,53247.5,0.001,PK|P,,,,,False,0,,,,,,,False,,,0.2891906567079926,,False,3402795.5,15404840.7,0.3530703607862049,21883322.8,3035.5,7209,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12,SR,CZCE,CZCE.SR401P6200,P,2023-12-13,62,-0.0440864773208986,-0.0749585827887546,12231.0,4902.0,15.0,6200.0,6765.0,P,high_iv_pressure,0.1995642554392616,0.1532556673624683,0.1995642554392616,0.1532556673624683,0.0463085880767932,355,355,1.0,53250.0,53250.0,0.001,SR|P,,,,,False,0,,,,,,,False,,,0.3530703607862049,,False,1451950.0,18807636.2,0.380327401750424,18480527.3,4090.0,4518,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-16,A,DCE,DCE.a2401-C-5900,C,2023-12-07,52,-0.0200038842493688,0.0190995726417619,1378.0,1345.0,2.5,5900.0,5046.0,C,high_iv_pressure,,0.1928304799998984,0.1928304799998984,,,2131,2131,1.0,53275.0,53275.0,0.001,A|C,,,,,False,0,,,,,,,False,,,0.1878443163219326,,False,5429788.0,10009109.7,0.2897469675270676,27289739.3,2548.0,10710,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-16,SI,GFEX,GFEX.si2312-P-13400,P,2023-11-07,22,0.0210674157303369,-0.0676422201240993,1347.0,991.0,25.0,13400.0,14540.0,P,high_iv_pressure,0.2303137018989314,,0.2303137018989314,,,426,426,1.0,53250.0,53250.0,0.001,SI|P,,,,,False,0,,,,,,,False,,,0.2897469675270676,,False,1936170.0,15438897.7,0.3260837188300368,21859951.3,4545.0,4809,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-26,AL,SHFE,SHFE.al2312C20000,C,2023-11-24,29,-0.0280277706351247,0.0737878210041652,3109.0,2426.0,23.0,20000.0,18900.0,C,high_iv_pressure,0.109045814057425,0.1398712425640491,0.1398712425640491,0.109045814057425,0.0308254285066241,463,463,1.0,53245.0,53245.0,0.001,AL|C,,,,,False,0,,,,,,,False,,,0.2926812432493202,,False,3155345.0,15600642.7,0.3518781824549419,21711109.05,6815.0,3185,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-26,AU,SHFE,SHFE.au2312P448,P,2023-11-24,29,0.0103759142711346,-0.0668830339814072,3029.0,2651.0,0.58,448.0,475.2,P,high_iv_pressure,0.1828659387162038,0.1698469778418675,0.1828659387162038,0.1698469778418675,0.0130189608743362,91,91,1.0,52780.0,52780.0,0.001,AU|P,,,,,False,0,,,,,,,False,,,0.3518781824549419,,False,5734092.0,18755987.7,0.4594545950258151,18555764.05,63012.0,294,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-06,PK,CZCE,CZCE.PK401C10200,C,2023-12-13,37,-0.0561475409836065,0.0538724702590549,1423.0,2364.0,12.5,10200.0,9212.0,C,high_iv_pressure,0.1670003036008798,0.2154573466310615,0.2154573466310615,0.1670003036008798,0.0484570430301817,851,851,1.0,53187.5,53187.5,0.001,PK|C,,,,,False,0,,,,,,,False,,,0.3961022426660344,,False,2013040.5,21087284.2,0.4339150709593788,16178596.55,2365.5,6839,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-10,SI,GFEX,GFEX.si2401-C-15200,C,2023-12-07,27,-0.0408441116405717,0.0738544548399424,1007.0,336.0,23.0,15200.0,14090.0,C,high_iv_pressure,,0.1855977981178384,0.1855977981178384,,,463,463,1.0,53245.0,53245.0,0.001,SI|C,,,,,False,0,,,,,,,False,,,0.3968490204338062,,False,2030255.0,21164154.7,0.4349183276847514,16167191.8,4385.0,3686,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-25,AL,SHFE,SHFE.al2401C19700,C,2023-12-25,30,-0.0216597077244259,0.049323053446821,1255.0,57.0,11.0,19700.0,18745.0,C,high_iv_pressure,,0.1026718346087646,0.1026718346087646,,,971,971,1.0,53405.0,53405.0,0.001,AL|C,,,,,False,0,,,,,,,False,,,0.2044985806110576,,False,6835840.0,10925033.5,0.3324542136335369,26471428.75,7040.0,3760,False,monthly,monthly,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
